datum,aantal
17-01-2026,54
18-01-2026,54
19-01-2026,59
20-01-2026,64
21-01-2026,70
22-01-2026,123
23-01-2026,125
24-01-2026,125
25-01-2026,125
26-01-2026,131
27-01-2026,132
28-01-2026,139
29-01-2026,142
30-01-2026,144
31-01-2026,145
01-02-2026,145
02-02-2026,151
03-02-2026,152
04-02-2026,156
05-02-2026,257
06-02-2026,258
07-02-2026,258
08-02-2026,258
09-02-2026,259
10-02-2026,262
11-02-2026,271
12-02-2026,273
13-02-2026,275
14-02-2026,275
15-02-2026,275
16-02-2026,282
17-02-2026,297
18-02-2026,303
19-02-2026,310
20-02-2026,313
21-02-2026,313
22-02-2026,313
23-02-2026,329
24-02-2026,331
25-02-2026,332
26-02-2026,333
27-02-2026,337
28-02-2026,337
01-03-2026,337
