id;gemeentecode;gemeente;plaats;naam;x;y
0014::SB100;0014;Groningen;Groningen;Stadhuis;233818;581974
0014::SB101;0014;Groningen;Groningen;Stadhuis;233818;581974
0014::SB102;0014;Groningen;Groningen;Stadhuis;233818;581974
0014::SB103;0014;Groningen;Groningen;Doopsgezinde Kerk;233625;582118
0014::SB104;0014;Groningen;Groningen;Akerk;233511;581721
0014::SB105;0014;Groningen;Groningen;Akerk;233511;581721
0014::SB106;0014;Groningen;Groningen;Akerk;233511;581721
0014::SB107;0014;Groningen;Groningen;Harmoniecomplex (RUG);233468;582026
0014::SB108;0014;Groningen;Groningen;Harmoniecomplex (RUG);233468;582026
0014::SB109;0014;Groningen;Groningen;Forum Groningen;233993;582013
0014::SB110;0014;Groningen;Groningen;Forum Groningen;233993;582013
0014::SB111;0014;Groningen;Groningen;Nieuwe Kerk;233426;582480
0014::SB112;0014;Groningen;Groningen;Nieuwe Kerk;233426;582480
0014::SB113;0014;Groningen;Groningen;The Social Hub Groningen;233711;582522
0014::SB114;0014;Groningen;Groningen;Gymzalen Violenstraat;233422;582650
0014::SB131;0014;Groningen;Groningen;Jeruzalemkerk;233979;582449
0014::SB132;0014;Groningen;Groningen;Buurtcentrum De Sint Jan;234228;582187
0014::SB133;0014;Groningen;Groningen;GGD Groningen;234458;582170
0014::SB134;0014;Groningen;Groningen;Universitair Medisch Centrum Groningen (UMCG);234474;582257
0014::SB141;0014;Groningen;Groningen;Strangers’ Garage;234194;581696
0014::SB142;0014;Groningen;Groningen;Gemeente Groningen (locatie Zuiderdiep);233675;581498
0014::SB143;0014;Groningen;Groningen;Gemeente Groningen (locatie Zuiderdiep);233675;581498
0014::SB151;0014;Groningen;Groningen;Stationshal Hoofdstation;233619;581130
0014::SB201;0014;Groningen;Groningen;Columnakerk;232369;581519
0014::SB202;0014;Groningen;Groningen;Huis de B;232134;581692
0014::SB205;0014;Groningen;Groningen;Hotel Watertoren West;232611;581975
0014::SB206;0014;Groningen;Groningen;Hotel Watertoren West;232611;581975
0014::SB207;0014;Groningen;Groningen;Noorderpoortcollege (locatie Verlengde Visserstraat);233051;581893
0014::SB208;0014;Groningen;Groningen;Noorderpoortcollege (locatie Verlengde Visserstraat);233051;581893
0014::SB209;0014;Groningen;Groningen;University College Groningen (RUG);232987;581589
0014::SB211;0014;Groningen;Groningen;Buurtcentrum Oranjewijk;232452;582420
0014::SB212;0014;Groningen;Groningen;Buurtcentrum Oranjewijk;232452;582420
0014::SB213;0014;Groningen;Groningen;Nassauschool (locatie Graaf Adolfstraat);232317;582266
0014::SB214;0014;Groningen;Groningen;Stichting Open de Poort;233016;582896
0014::SB215;0014;Groningen;Groningen;VRIJDAG (locatie Akkerstraat);233161;582965
0014::SB221;0014;Groningen;Groningen;Christelijk Centrum Groningen;233260;583193
0014::SB222;0014;Groningen;Groningen;BSV De Hoogte;233483;583709
0014::SB231;0014;Groningen;Groningen;Het Floreshuis;233921;583474
0014::SB232;0014;Groningen;Groningen;Het Floreshuis;233921;583474
0014::SB233;0014;Groningen;Groningen;IKC De Kleine Wereld (locatie Celebesstraat);234096;583524
0014::SB241;0014;Groningen;Groningen;Quiet Groningen;234170;583852
0014::SB242;0014;Groningen;Groningen;Gymzaal Korreweg;234324;583670
0014::SB251;0014;Groningen;Groningen;Gymzaal Kapteynlaan;234026;583045
0014::SB252;0014;Groningen;Groningen;St. Franciscusschool;234602;583548
0014::SB253;0014;Groningen;Groningen;De Cirkel;233601;582976
0014::SB254;0014;Groningen;Groningen;De Cirkel;233601;582976
0014::SB261;0014;Groningen;Groningen;BSV FEO;234361;582914
0014::SB262;0014;Groningen;Groningen;BSV Ons Belang;234758;582616
0014::SB263;0014;Groningen;Groningen;Leger des Heils;234752;582355
0014::SB264;0014;Groningen;Groningen;Leger des Heils;234752;582355
0014::SB265;0014;Groningen;Groningen;Oosterkerk;234150;582883
0014::SB281;0014;Groningen;Groningen;Bie de Buuf;234969;583382
0014::SB282;0014;Groningen;Groningen;Bij Van Houten;235239;582681
0014::SB283;0014;Groningen;Groningen;Bij Van Houten;235239;582681
0014::SB301;0014;Groningen;Groningen;Clubhuis Kids United;230707;579869
0014::SB311;0014;Groningen;Groningen;Sporthal Hoogkerk;229833;580797
0014::SB312;0014;Groningen;Groningen;Sporthal Hoogkerk;229833;580797
0014::SB313;0014;Groningen;Groningen;Gabriël Woonzorgcentrum;229890;580369
0014::SB314;0014;Groningen;Groningen;Gabriël Woonzorgcentrum;229890;580369
0014::SB321;0014;Groningen;Groningen;Dorpskerk;229409;581664
0014::SB331;0014;Groningen;Groningen;CBS Aquamarijn;229734;583317
0014::SB332;0014;Groningen;Groningen;CBS Aquamarijn;229734;583317
0014::SB333;0014;Groningen;Groningen;CBS Aquamarijn;229734;583317
0014::SB341;0014;Groningen;Groningen;Gymzaal Agaatstraat;230890;583041
0014::SB342;0014;Groningen;Groningen;Gymzaal Agaatstraat;230890;583041
